Сайт;Кол-во ссылок;Кол-во дат;Если слово news в тексте;Последний указаный год
https://mundoconectado.com.br;8;0;False;
https://nsctotal.com.br;2;0;False;
https://segredosdomundo.r7.com;63;1;False;2021
https://lance.com.br;273;2;True;2022
https://olist.com;1;0;False;
https://hostmidia.com.br;0;0;False;
https://wincalendar.com;87;23;False;2024
https://hostinger.com.br;153;1;False;2023
https://meupositivo.com.br;173;2;False;2023
https://theenemy.com.br;283;55;True;2023
https://iniciarbr.com;113;29;False;2023
https://pt.sharkoon.com;74;0;False;
https://encontreumnerd.com.br;63;1;False;2023
https://pichau.com.br;0;1;False;2023
https://mybest-brazil.com.br;80;0;False;
https://tecnoblog.net;239;4;False;2023
https://cougargaming.com;163;0;False;
https://plus.diolinux.com.br;419;30;True;2023
https://cointelegraph.com.br;105;30;True;2024
https://br.ign.com;283;42;False;2023
https://hardware.com.br;106;39;False;2023
https://fluencytv.com;851;0;True;
